회사명,AUM,"펀드
매니저수",설립일자,주소,TEL,WEB주소
타임폴리오자산운용,"24,907",6,2006-05-15,"서울 영등포구 국제금융로 70, 웨스트빌딩 14층",02-533-8940,https://www.timefolio.co.kr
트러스톤자산운용,"7,967",13,1998-04-04,"서울 종로구 종로5길 7, 타워8 22층",02-6308-0500,https://www.trustonasset.com
플러스자산운용,"41,606",5,2000-01-19,"서울 영등포구 국제금융로 70, 미원빌딩 9층",02-3787-2700,https://www.plusasset.com
피델리티자산운용,"28,973",1,2002-08-14,"서울 종로구 종로3길 17, D타워 Donuimun 16층",02-3783-0901,https://www.fidelity.co.kr
하나대체투자자산운용,"3,029",5,2006-04-14,"서울 영등포구 국제금융로 8길 26, 하나금융투자빌딩 10층",02-2190-6500,https://www.hana-aamc.com
하나자산운용,"177,973",28,2002-06-27,"서울 영등포구 국제금융로 8길 26, 하나금융투자빌딩 5층",02-3771-7800,https://www.hanaam.com
한국투자리얼에셋운용,"6,638",3,2022-07-29,"서울 영등포구 여의대로 108, 파크원 타워2 45층",02-6112-5999,https://kira.koreainvestment.com
한국투자밸류자산운용,"19,963",12,2006-02-13,"서울 영등포구 여의대로 108, 파크원 타워2 45층",02-6978-6300,https://www.koreavalueasset.com
한국투자신탁운용,"406,057",66,2000-06-26,"서울 영등포구 여의대로 108, 파크원 타워2 43층",02-2055-5555,https://kim.koreainvestment.com
한화자산운용,"136,781",45,1988-04-15,"서울 영등포구 여의도동 41-4, 한화투자증권빌딩 9~11층",02-6950-0000,https://www.hanwhafund.co.kr
현대인베스트먼트자산운용,"38,028",12,2000-07-25,"서울 영등포구 여의나루로 50, 신송센터빌딩 6층",02-6276-7000,https://www.hdfund.co.kr
현대자산운용,"28,036",10,2008-11-24,"서울 영등포구 여의대로 108, 파크원 타워2 34층",02-2090-0500,https://www.hyundaiam.com
흥국자산운용,"53,570",15,1999-08-23,"서울 중구 세종대로 67, 흥국생명빌딩 13층",02-2122-2800,https://www.hkfund.co.kr
