운용사,성명,총 운용경력,현회사 운용경력,펀드수,"설정원본
(백만원)",,,,
다올자산운용,위민복,1년3개월,1년3개월,11," 106,289 ",,,,
다올자산운용,이상재,1년9개월,1년9개월,7," 98,890 ",,,,
다올자산운용,이종찬,4년5개월,4년5개월,9," 73,832 ",,,,
다올자산운용,이종희,4년6개월,1년9개월,1, 249 ,,,,
다올자산운용,이혁재,3년4개월,3년4개월,11," 422,661 ",,,,
다올자산운용,장희준,4년8개월,3년11개월,12," 839,170 ",,,,
다올자산운용,전무석,5년1개월,1년5개월,8," 259,687 ",,,,
다올자산운용,전양민,3년8개월,2년5개월,2," 65,901 ",,,,
다올자산운용,전우석,12년4개월,5년6개월,10," 329,212 ",,,,
다올자산운용,전홍빈,2년2개월,2년2개월,3," 2,819,517 ",,,,
다올자산운용,조혜영,3년4개월,0년5개월,1," 2,558,260 ",,,,
대신자산운용,강명숙,2년7개월,1년11개월,11,134880,,,,
대신자산운용,김우주,6년6개월,1년6개월,2,13438,,,,
대신자산운용,김종현,3년1개월,3년1개월,9,87277,,,,
대신자산운용,김회현,6년0개월,6년0개월,4,2311322,,,,
대신자산운용,나중혁,2년4개월,2년4개월,10,108773,,,,
대신자산운용,박주환,1년1개월,1년1개월,1,16203,,,,
대신자산운용,박혜정,6년5개월,2년9개월,2,5636,,,,
대신자산운용,오은지,2년3개월,2년3개월,11,104670,,,,
대신자산운용,이창훈,2년6개월,2년6개월,19,111893,,,,
대신자산운용,임동영,11년0개월,11년0개월,1,3279,,,,
대신자산운용,임준범,1년10개월,1년10개월,5,86936,,,,
대신자산운용,정만성,16년7개월,16년7개월,3,273118,,,,
대신자산운용,정상민,13년10개월,13년10개월,2,87836,,,,
대신자산운용,최준영,9년6개월,5년4개월,9,10933,,,,
대신자산운용,최진혁,7년0개월,4년0개월,12,130807,,,,
대신자산운용,황호봉,5년8개월,3년7개월,4,19074,,,,
더제이자산운용,전승환,3년0개월,2년6개월,1,38677,,,,
더제이자산운용,최광욱,8년3개월,2년6개월,1,38677,0,,,
디더블유에스자산운용,변현수,16년1개월,16년1개월,1,8574,,,,
디더블유에스자산운용,이정원,17년9개월,17년9개월,5,9834,,,,
DB자산운용,JUNG HYEIN,2년7개월,0년4개월,6,75151,,,,
DB자산운용,권순규,0년11개월,0년11개월,2,23907,,,,
DB자산운용,김다혜,11년3개월,10년1개월,8,44528,,,,
DB자산운용,김은희,7년4개월,6년1개월,1,107869,,,,
DB자산운용,김지혜,7년7개월,7년7개월,18,57732,,,,
DB자산운용,박성식,0년2개월,0년2개월,2,10949,,,,
DB자산운용,박승찬,1년2개월,1년2개월,5,36384,,,,
DB자산운용,박일규,3년5개월,0년2개월,4,98251,,,,
DB자산운용,성민형,6년1개월,6년1개월,2,3546715,,,,
DB자산운용,손종민,0년2개월,0년2개월,6,5824,,,,
DB자산운용,염동훈,7년3개월,5년8개월,14,119680,,,,
DB자산운용,이상길,1년3개월,1년3개월,11,236705,,,,
DB자산운용,이수현,1년1개월,1년1개월,5,40568,,,,
DB자산운용,이승구,10년11개월,0년1개월,2,14094,,,,
DB자산운용,이승택,2년7개월,2년7개월,6,44467,,,,
DB자산운용,이우중,1년10개월,1년10개월,8,398342,,,,
DB자산운용,이재권,3년4개월,3년4개월,3,46840,,,,
DB자산운용,이주경,5년1개월,3년5개월,5,149939,,,,
DB자산운용,이진욱,10년3개월,2년9개월,5,70315,,,,
DB자산운용,이태희,11년0개월,4년2개월,4,3837083,,,,
DB자산운용,전상곤,7년5개월,2년11개월,5,166710,,,,
DB자산운용,정승호,13년1개월,6년2개월,12,252226,,,,
DB자산운용,정해관,1년5개월,1년5개월,5,40199,,,,
DB자산운용,조항준,4년10개월,2년9개월,8,86976,,,,
DB자산운용,최정윤,0년5개월,0년5개월,1,4268,,,,
DB자산운용,홍은주,0년10개월,0년10개월,2,23716,,,,
DB자산운용,홍은표,13년5개월,13년3개월,21,108061,,,,
디에스자산운용,김창진,0년0개월,0년0개월,1,71438,,,,
디에스자산운용,황현철,1년3개월,1년3개월,1,71438,,,,
마이다스에셋자산운용,기민수,12년2개월,5년7개월,18,1476145,,,,
마이다스에셋자산운용,김기태,0년3개월,0년3개월,1,43831,,,,
마이다스에셋자산운용,김민수,13년6개월,7년5개월,15,574753,,,,
마이다스에셋자산운용,김연우,4년6개월,4년6개월,3,889582,,,,
마이다스에셋자산운용,김영준,3년5개월,0년4개월,1,213461,,,,
마이다스에셋자산운용,김예리,15년10개월,12년1개월,11,238266,,,,
마이다스에셋자산운용,김인수,0년1개월,0년1개월,3,124080,,,,
마이다스에셋자산운용,김재현,4년2개월,4년2개월,4,53046,,,,
마이다스에셋자산운용,김현중,13년3개월,13년3개월,1,22941,,,,
마이다스에셋자산운용,서준현,0년8개월,0년4개월,2,58537,,,,
마이다스에셋자산운용,신원상,0년1개월,0년1개월,7,45300,,,,
마이다스에셋자산운용,신진호,13년3개월,13년3개월,7,268982,,,,
마이다스에셋자산운용,오남훈,13년3개월,13년3개월,13,121347,,,,
마이다스에셋자산운용,유주형,10년0개월,10년0개월,14,151355,,,,
마이다스에셋자산운용,이천주,17년6개월,4년2개월,14,242722,,,,
마이다스에셋자산운용,이호영,3년2개월,1년8개월,8,120679,,,,
마이다스에셋자산운용,조웅배,0년8개월,0년8개월,4,30814,,,,
마이다스에셋자산운용,채광국,0년4개월,0년4개월,1,50256,,,,
맥쿼리자산운용,박진욱,5년10개월,5년10개월,1,3297209,,,,
맥쿼리자산운용,정재우,9년4개월,9년4개월,1,3297209,,,,
머스트자산운용,김두용,1년0개월,1년0개월,1,133944,,,,
머스트자산운용,정기홍,1년0개월,1년0개월,1,133944,,,,
미래에셋자산운용,YANG CHARLES,1년5개월,0년6개월,2,28386,,,,
미래에셋자산운용,고영서,3년6개월,3년6개월,2,231027,,,,
미래에셋자산운용,구본원,2년0개월,2년0개월,1,23395,,,,78
미래에셋자산운용,구용덕,18년7개월,18년1개월,6,162840,,,,
미래에셋자산운용,권태오,11년9개월,7년6개월,3,2922218,,,,
미래에셋자산운용,김건중,5년1개월,5년1개월,2,126490,,,,
미래에셋자산운용,김남호,5년0개월,5년0개월,24,19320763,,,,
미래에셋자산운용,김도로,0년7개월,0년7개월,3,2498952,,,,
미래에셋자산운용,김동명,4년11개월,0년3개월,2,2028664,,,,
미래에셋자산운용,김동환,3년0개월,3년0개월,4,59924,,,,
미래에셋자산운용,김명준,10년2개월,10년2개월,8,481520,,,,
미래에셋자산운용,김미혜,3년7개월,3년7개월,3,381935,,,,
미래에셋자산운용,김민수,0년10개월,0년10개월,1,5465135,,,,
미래에셋자산운용,김민수,1년4개월,0년10개월,18,15563408,,,,
미래에셋자산운용,김병석,5년5개월,4년3개월,27,3515084,,,,
미래에셋자산운용,김세환,5년4개월,5년4개월,1,135036,,,,
미래에셋자산운용,김수명,2년10개월,2년10개월,22,5924250,,,,
미래에셋자산운용,김승범,9년4개월,8년9개월,1,18728,,,,
미래에셋자산운용,김시은,0년1개월,0년1개월,1,309510,,,,
미래에셋자산운용,김예강,0년4개월,0년4개월,1,21082,,,,
미래에셋자산운용,김윤정,7년6개월,7년6개월,9,310696,,,,
미래에셋자산운용,김정수,11년9개월,11년9개월,3,63951,,,,
미래에셋자산운용,김정욱,8년5개월,8년5개월,11,4691280,,,,
미래에셋자산운용,김지연,5년6개월,5년6개월,43,4148201,,,,
미래에셋자산운용,김진하,17년3개월,17년3개월,6,244211,,,,
미래에셋자산운용,김태영,0년0개월,0년0개월,1,515231,,,,
미래에셋자산운용,김휘겸,1년8개월,1년8개월,24,19473870,,,,
미래에셋자산운용,류연지,2년3개월,0년1개월,1,309510,,,,
미래에셋자산운용,박건웅,1년10개월,1년10개월,1,226051,,,,
미래에셋자산운용,박경륜,7년2개월,7년2개월,21,188646,,,,
미래에셋자산운용,박상헌,0년7개월,0년7개월,1,8346,,,,
미래에셋자산운용,박주선,1년10개월,1년10개월,3,451533,,,,
미래에셋자산운용,박현수,2년5개월,2년5개월,3,89152,,,,
미래에셋자산운용,백종원,0년5개월,0년5개월,12,426076,,,,
미래에셋자산운용,서윤석,5년9개월,5년9개월,2,39897,,,,
미래에셋자산운용,서재춘,19년9개월,19년9개월,9,958503,,,,
미래에셋자산운용,손재현,0년7개월,0년7개월,1,8346,,,,
미래에셋자산운용,송시형,9년8개월,9년8개월,1,3654,,,,
미래에셋자산운용,송재원,2년8개월,2년8개월,1,13509,,,,
미래에셋자산운용,송진용,19년0개월,19년0개월,331,9071218,,,,
미래에셋자산운용,신승우,4년6개월,4년6개월,45,14153289,,,,
미래에셋자산운용,신재훈,15년6개월,15년6개월,4,587423,,,,
미래에셋자산운용,유의형,5년0개월,5년0개월,4,392870,,,,
미래에셋자산운용,윤병호,10년10개월,10년10개월,2,116560,,,,
미래에셋자산운용,이도선,2년8개월,2년8개월,25,16599543,,,,
미래에셋자산운용,이상명,9년3개월,9년3개월,2,77351,,,,
미래에셋자산운용,이슬,7년0개월,7년0개월,4,56457,,,,
미래에셋자산운용,이원준,4년3개월,4년3개월,1,43732,,,,
미래에셋자산운용,이정범,6년4개월,6년4개월,3,49695,,,,
미래에셋자산운용,이정환,12년6개월,4년2개월,2,113317,,,,
미래에셋자산운용,이종민,1년9개월,1년9개월,45,8743078,,,,
미래에셋자산운용,이창헌,9년0개월,9년0개월,2,114269,,,,
미래에셋자산운용,이현경,17년10개월,17년5개월,7,677461,,,,
미래에셋자산운용,이호년,0년10개월,0년10개월,28,3566926,,,,
미래에셋자산운용,장효인,0년7개월,0년7개월,1,18728,,,,
미래에셋자산운용,정대진,9년3개월,9년3개월,2,55836,,,,
미래에셋자산운용,정도옥,2년4개월,2년4개월,1,6206,,,,
미래에셋자산운용,정원택,10년1개월,10년1개월,1,4832,,,,
미래에셋자산운용,정의현,8년9개월,5년6개월,44,10675507,,,,
미래에셋자산운용,정재은,2년7개월,2년7개월,1,33448,,,,
미래에셋자산운용,정한섭,6년8개월,6년8개월,4,497993,,,,
미래에셋자산운용,정희석,4년4개월,4년4개월,2,24916,,,,
미래에셋자산운용,최진영,7년2개월,7년2개월,4,699753,,,,
미래에셋자산운용,최창훈,18년6개월,18년6개월,3,692073,,,,
미래에셋자산운용,하민정,3년3개월,3년3개월,12,3286303,,,,
미래에셋자산운용,한유진,1년4개월,1년4개월,23,5671794,,,,
미래에셋자산운용,홍상준,4년6개월,4년6개월,1,47940,,,,
미래에셋자산운용,홍성범,7년9개월,7년0개월,2,22281,,,,
미래에셋자산운용,홍솔,5년6개월,5년6개월,1,11919,,,,
미래에셋자산운용,황영진,9년6개월,9년6개월,13,608545,,,,
밸류시스템자산운용,양기정,1년2개월,1년2개월,2,8945,,,,
베어링자산운용,김범석,21년6개월,21년6개월,3,73754,,,,
베어링자산운용,김지영,14년6개월,13년6개월,7,713609,,,,
베어링자산운용,김혜용,1년1개월,1년1개월,1,1641,,,,
베어링자산운용,박장호,7년10개월,7년10개월,3,66642,,,,
베어링자산운용,송유진,9년8개월,9년8개월,7,24504,,,,
베어링자산운용,송준혁,18년5개월,11년0개월,2,4656,,,,
베어링자산운용,신광선,19년6개월,11년8개월,2,5868,,,,
베어링자산운용,안동길,13년5개월,10년4개월,14,167610,,,,
베어링자산운용,이준동,1년11개월,1년11개월,8,24006,,,,
베어링자산운용,최상현,18년4개월,12년6개월,12,725773,,,,
베어링자산운용,최준호,3년10개월,3년10개월,1,10716,,,,
브레인자산운용,이성민,1년4개월,1년4개월,1,26064,,,,
브레인자산운용,황인선,3년0개월,3년0개월,1,26064,,,,
브이아이자산운용,SONG EUN JEONG,2년3개월,2년3개월,11,127490,,,,
브이아이자산운용,강경모,1년10개월,0년11개월,5,33242,,,,
브이아이자산운용,고정석,3년4개월,0년3개월,7,19820,,,,
브이아이자산운용,곽두연,0년0개월,0년0개월,1,160123,,,,
브이아이자산운용,곽소담,5년4개월,5년4개월,25,1660015,,,,
브이아이자산운용,구지환,1년6개월,1년6개월,3,241936,,,,
브이아이자산운용,김보국,10년8개월,4년1개월,29,479158,,,,
브이아이자산운용,김연수,17년6개월,17년6개월,1,1535,0,,,
브이아이자산운용,김정민,10년7개월,0년7개월,5,8966,,,,
브이아이자산운용,김정엽,3년4개월,3년4개월,3,23060,,,,
브이아이자산운용,김태현,0년1개월,0년1개월,1,10704,,,,
브이아이자산운용,김환익,7년3개월,7년3개월,7,1256310,,,,
브이아이자산운용,이세웅,2년3개월,2년3개월,6,133129,,,,
브이아이자산운용,이승규,0년1개월,0년1개월,1,20037,,,,
브이아이자산운용,이하준,8년4개월,8년4개월,11,55832,,,,
브이아이자산운용,임성철,1년1개월,1년1개월,9,67118,,,,
브이아이자산운용,조재익,0년7개월,0년7개월,10,108734,,,,
브이아이자산운용,조혜린,2년3개월,2년3개월,2,25589,,,,
브이아이자산운용,황인송,0년9개월,0년9개월,1,2315,,,,
브이아이자산운용,황재연,10년9개월,10년9개월,16,74701,,,,
브이아이피자산운용,김민국,2년4개월,2년4개월,1,693391,,,,
브이아이피자산운용,박성재,2년4개월,2년4개월,1,693391,,,,
브이아이피자산운용,조창현,2년4개월,2년4개월,1,693391,,,,
브이아이피자산운용,최준철,2년5개월,2년5개월,1,693391,,,,
브이자산운용,김주호,1년4개월,1년4개월,16,52826,,,,
브이자산운용,박진환,2년11개월,2년11개월,15,26182,,,,
브이자산운용,오승훈,3년1개월,3년1개월,10,59933,,,,
브이자산운용,윤성주,19년4개월,3년3개월,15,190599,,,,
비엔케이(BNK)자산운용,강세진,10년8개월,2년0개월,3,65942,,,,
비엔케이(BNK)자산운용,권기훈,0년8개월,0년8개월,5,56190,,,,
비엔케이(BNK)자산운용,권민정,0년6개월,0년6개월,4,42867,,,,
비엔케이(BNK)자산운용,김동연,0년10개월,0년10개월,12,312584,,,,
비엔케이(BNK)자산운용,김우람,4년8개월,4년8개월,6,74448,,,,
비엔케이(BNK)자산운용,김혜진,0년9개월,0년9개월,2,4440913,,,,
비엔케이(BNK)자산운용,박지은,6년3개월,2년11개월,1,8386,,,,
비엔케이(BNK)자산운용,박진걸,2년9개월,2년9개월,5,144956,,,,
비엔케이(BNK)자산운용,성동원,7년4개월,4년7개월,11,204032,,,,
비엔케이(BNK)자산운용,오준완,15년3개월,6년5개월,7,102801,,,,
비엔케이(BNK)자산운용,윤영국,5년6개월,5년6개월,5,56190,,,,
비엔케이(BNK)자산운용,이건민,10년4개월,7년5개월,8,36449,,,,
비엔케이(BNK)자산운용,이승건,6년4개월,6년4개월,3,4549465,,,,
비엔케이(BNK)자산운용,조동훈,5년2개월,5년2개월,8,30250,,,,
비엔케이(BNK)자산운용,한경래,0년8개월,0년8개월,1,29395,,,,
삼성액티브자산운용,CHO HUGH HARNGID,0년11개월,0년11개월,1,6124,,,,
삼성액티브자산운용,강동욱,0년7개월,0년7개월,2,426,,,,
삼성액티브자산운용,김주연,2년7개월,2년7개월,4,153874,,,,
삼성액티브자산운용,김지운,12년6개월,10년7개월,1,73902,,,,
삼성액티브자산운용,김효식,1년7개월,1년7개월,1,11608,,,,
삼성액티브자산운용,김희덕,1년5개월,1년1개월,3,26980,,,,
삼성액티브자산운용,남은영,4년1개월,1년6개월,3,118732,,,,
삼성액티브자산운용,심주현,2년1개월,2년1개월,1,161923,,,,
삼성액티브자산운용,양희창,1년8개월,1년8개월,2,115041,,,,
삼성액티브자산운용,정대호,7년0개월,7년0개월,1,15268,,,,
삼성액티브자산운용,조용화,5년3개월,2년6개월,4,77526,,,,
삼성액티브자산운용,지성진,0년8개월,0년8개월,1,22426,,,,
삼성액티브자산운용,한연우,4년6개월,1년6개월,2,36096,,,,
삼성자산운용,LEE SEUNG HYUN,5년10개월,2년9개월,6,82845,,,,
삼성자산운용,곽성환,1년11개월,1년3개월,12,121169,,,,
삼성자산운용,곽태원,4년9개월,3년11개월,9,5256117,,,,
삼성자산운용,권구황,6년1개월,2년0개월,2,403781,,,,
삼성자산운용,권순길,5년4개월,5년4개월,7,171931,,,,
삼성자산운용,김누리,1년1개월,1년1개월,5,963,,,,
삼성자산운용,김도윤,7년7개월,5년8개월,1,11494,,,,
삼성자산운용,김동한,3년4개월,3년4개월,21,225821,,,,
삼성자산운용,김두남,20년4개월,20년1개월,1,2130,,,,
삼성자산운용,김선화,7년9개월,7년9개월,9,968843,,,,
삼성자산운용,김성민,2년9개월,2년9개월,10,35480,,,,
삼성자산운용,김세진,1년1개월,1년1개월,1,17557,,,,
삼성자산운용,김시헌,10년4개월,10년4개월,9,9191254,,,,
삼성자산운용,김재훈,5년8개월,2년6개월,3,225524,,,,
삼성자산운용,김정현,1년4개월,1년4개월,11,1280737,,,,
삼성자산운용,김준우,6년9개월,3년3개월,34,368443,,,,
삼성자산운용,김진평,4년4개월,1년8개월,23,316914,,,,
삼성자산운용,김천흥,7년10개월,3년7개월,12,1143179,,,,
삼성자산운용,김태민,3년3개월,1년6개월,2,42164,,,,
삼성자산운용,류종하,3년4개월,0년7개월,4,4621,,,,
삼성자산운용,마승현,6년11개월,4년1개월,18,4494525,,,,
삼성자산운용,문현욱,4년6개월,0년2개월,18,2297769,,,,
삼성자산운용,박경세,2년4개월,2년4개월,49,482750,,,,
삼성자산운용,박성철,7년2개월,7년2개월,7,4460514,,,,
삼성자산운용,박원정,9년5개월,3년5개월,10,468411,,,,
삼성자산운용,서민웅,3년7개월,3년7개월,64,811294,,,,
삼성자산운용,서보경,8년4개월,8년4개월,1,57009,,,,
삼성자산운용,손은정,1년5개월,1년5개월,5,143771,,,,
삼성자산운용,송아현,2년2개월,2년2개월,19,1457510,,,,
삼성자산운용,신재광,8년2개월,8년2개월,21,1795300,,,,
삼성자산운용,신현진,0년7개월,0년7개월,8,3529650,,,,
삼성자산운용,오병철,5년2개월,5년2개월,4,117007,,,,
삼성자산운용,유아란,3년0개월,3년0개월,8,12549490,,,,
삼성자산운용,윤상아,14년10개월,14년10개월,3,93045,,,,
삼성자산운용,윤성인,3년3개월,3년3개월,3,18990111,,,,
삼성자산운용,이가현,4년1개월,1년6개월,17,1471784,,,,
삼성자산운용,이경원,6년10개월,3년7개월,27,1622931,,,,
삼성자산운용,이대환,5년5개월,5년5개월,19,5872134,,,,
삼성자산운용,이상준,6년8개월,3년7개월,5,3126776,,,,
삼성자산운용,이성재,1년3개월,1년3개월,6,28660,,,,
삼성자산운용,이윤희,10년5개월,6년4개월,9,5126,,,,
삼성자산운용,이재열,18년5개월,14년5개월,5,261631,,,,
삼성자산운용,이정택,4년10개월,4년10개월,5,504145,,,,
삼성자산운용,이준재,4년4개월,4년4개월,19,9669400,,,,
삼성자산운용,이채호,0년7개월,0년7개월,3,3020586,,,,
삼성자산운용,이태규,4년3개월,4년3개월,8,7454590,,,,
삼성자산운용,임병효,3년4개월,3년4개월,20,395945,,,,
삼성자산운용,임태혁,13년3개월,11년4개월,1,169071,,,,
삼성자산운용,장종협,3년6개월,3년6개월,6,347322,,,,
삼성자산운용,장현준,11년5개월,9년4개월,13,388680,,,,
삼성자산운용,정재욱,11년9개월,9년6개월,10,10679171,,,,
삼성자산운용,조현주,11년2개월,2년7개월,2,59302,,,,
삼성자산운용,조형호,3년4개월,3년4개월,2,27474,,,,
삼성자산운용,최윤성,3년11개월,0년6개월,2,895350,,,,
삼성자산운용,한동훈,3년5개월,3년5개월,21,2679031,,,,
삼성자산운용,홍창수,2년5개월,0년7개월,5,169965,,,,
삼성자산운용,황희영,8년2개월,8년2개월,4,26325,,,,
슈로더투자신탁운용,김락,19년1개월,19년1개월,23,475750,,,,
스팍스자산운용,김한준,14년4개월,9년11개월,1,19976,,,,
스팍스자산운용,노기영,6년2개월,2년5개월,1,20965,,,,
스팍스자산운용,서경철,1년0개월,1년0개월,1,534,,,,
신영자산운용,김화진,16년4개월,16년4개월,22,1765186,,,,
신영자산운용,노신윤,9년6개월,0년4개월,11,142737,,,,
신영자산운용,박영훈,3년10개월,3년10개월,15,1628420,,,,
신영자산운용,박찬형,0년2개월,0년2개월,4,2442875,,,,
신영자산운용,박하나,12년9개월,1년2개월,39,3292722,,,,
신영자산운용,심창훈,9년7개월,9년7개월,39,3291504,,,,
신영자산운용,원주영,20년9개월,20년9개월,30,945809,,,,
신영자산운용,이상진,1년1개월,1년1개월,5,91564,,,,
신영자산운용,이선규,1년1개월,1년1개월,2,29502,,,,
신영자산운용,이준영,1년1개월,1년1개월,1,13540,,,,
신영자산운용,이혁원,0년8개월,0년8개월,2,30073,,,,
신영자산운용,정송훈,0년9개월,0년9개월,3,91198,,,,
신영자산운용,조영수,2년11개월,2년11개월,9,155143,,,,
신영자산운용,황명찬,2년4개월,0년1개월,2,19012,,,,
신한자산운용,park jung ho,8년1개월,8년1개월,38,353882,,,,
신한자산운용,강재명,0년10개월,0년10개월,1,19868,,,,
신한자산운용,강찬홍,6년7개월,6년7개월,2,2100653,,,,
신한자산운용,강판석,1년10개월,1년10개월,3,831798,,,,
신한자산운용,고영훈,8년3개월,3년5개월,13,255202,,,,
신한자산운용,권수철,5년8개월,0년1개월,1,12301,,,,
신한자산운용,권순규,1년9개월,1년9개월,5,57610,,,,
신한자산운용,권용현,3년4개월,1년10개월,4,101385,,,,
신한자산운용,김경태,5년1개월,5년1개월,16,12705776,,,,
신한자산운용,김기덕,6년0개월,3년5개월,5,48461,,,,
신한자산운용,김민성,2년3개월,2년3개월,12,2505629,,,,
신한자산운용,김성훈,17년9개월,13년11개월,29,1207818,,,,
신한자산운용,김영강,0년11개월,0년11개월,4,862339,,,,
신한자산운용,김의찬,6년4개월,6년4개월,14,1135825,,,,
신한자산운용,김재정,15년7개월,8년6개월,56,2382277,,,,
신한자산운용,김주영,21년2개월,17년0개월,7,238769,,,,
신한자산운용,김지민,0년5개월,0년5개월,7,158608,,,,
신한자산운용,김지윤,3년1개월,3년1개월,5,36038,,,,
신한자산운용,김택주,4년6개월,1년7개월,9,60843,,,,
신한자산운용,김한솔,2년4개월,2년4개월,4,416990,,,,
신한자산운용,나진아,2년4개월,2년4개월,14,69017,,,,
신한자산운용,문동욱,3년11개월,0년2개월,8,15932,,,,
신한자산운용,박민수,2년3개월,2년3개월,15,615118,,,,
신한자산운용,박시은,1년11개월,1년11개월,13,36164,,,,
신한자산운용,박정원,4년1개월,4년1개월,21,2355898,,,,
신한자산운용,서병욱,20년1개월,16년11개월,27,132127,,,,
신한자산운용,서형인,0년4개월,0년4개월,13,46006,,,,
신한자산운용,송우언,2년2개월,2년2개월,9,77293,,,,
신한자산운용,송한상,5년2개월,5년2개월,3,2100748,,,,
신한자산운용,신하늬,8년9개월,8년9개월,18,75264,,,,
신한자산운용,신희재,2년8개월,2년8개월,15,71993,,,,
신한자산운용,안상훈,8년8개월,8년8개월,6,1314691,,,,
신한자산운용,양찬규,11년4개월,11년4개월,24,595487,,,,
신한자산운용,오규찬,20년1개월,19년9개월,19,126838,,,,
신한자산운용,오형석,5년8개월,3년9개월,18,2187147,,,,
신한자산운용,유새롬,3년1개월,3년1개월,7,146796,,,,
신한자산운용,윤장한,2년1개월,2년1개월,29,188539,,,,
신한자산운용,윤종원,4년0개월,2년1개월,16,286851,,,,
신한자산운용,윤지상,0년2개월,0년2개월,1,11749,,,,
신한자산운용,이유라,7년1개월,7년1개월,10,434705,,,,
신한자산운용,이유정,6년7개월,6년7개월,12,254964,,,,
신한자산운용,이철,7년6개월,0년3개월,8,27475,,,,
신한자산운용,장홍전,2년8개월,2년8개월,6,337268,,,,
신한자산운용,전형래,3년9개월,3년9개월,25,460543,,,,
신한자산운용,정성한,15년0개월,10년10개월,10,434705,,,,
신한자산운용,정지원,5년1개월,5년1개월,48,2128770,,,,
신한자산운용,조성호,6년2개월,6년2개월,1,2217,,,,
신한자산운용,채경섭,9년9개월,1년6개월,3,31207,,,,
신한자산운용,최보경,0년4개월,0년4개월,9,21918,,,,
신한자산운용,최승우,6년0개월,2년10개월,38,6563175,,,,
신한자산운용,최지호,7년5개월,7년5개월,1,49818,,,,
신한자산운용,함유미,0년5개월,0년5개월,8,371605,,,,
신한자산운용,허승찬,12년9개월,3년0개월,16,12716396,,,,
신한자산운용,허익서,8년0개월,5년1개월,6,1574385,,,,
아이비케이(IBK)자산운용,PIAO SUYAN,6년8개월,4년8개월,21,290015,,,,
아이비케이(IBK)자산운용,김대진,2년5개월,1년10개월,37,952803,,,,
아이비케이(IBK)자산운용,김영민,2년8개월,2년8개월,3,10944057,,,,
아이비케이(IBK)자산운용,김정훈,8년1개월,0년7개월,4,4552,,,,
아이비케이(IBK)자산운용,김찬우,0년5개월,0년5개월,3,24203,,,,
아이비케이(IBK)자산운용,김현수,22년3개월,18년2개월,4,20804,,,,
아이비케이(IBK)자산운용,노수현,0년1개월,0년1개월,2,34931,,,,
아이비케이(IBK)자산운용,라병철,2년8개월,2년8개월,1,6164,,,,
아이비케이(IBK)자산운용,류현욱,18년5개월,6년0개월,24,320159,,,,
아이비케이(IBK)자산운용,박상욱,7년9개월,2년8개월,5,46829,,,,
아이비케이(IBK)자산운용,배윤준,16년3개월,16년3개월,3,10944057,,,,
아이비케이(IBK)자산운용,신준형,16년9개월,16년9개월,25,332218,,,,
아이비케이(IBK)자산운용,심우현,1년10개월,1년10개월,10,25530,,,,
아이비케이(IBK)자산운용,이동윤,1년5개월,1년5개월,1,4015,,,,
아이비케이(IBK)자산운용,정서현,2년8개월,2년8개월,15,189750,,,,
아이엠에셋자산운용,강동민,2년11개월,2년2개월,10,364574,,,,
아이엠에셋자산운용,강성호,14년6개월,5년3개월,24,243388,,,,
아이엠에셋자산운용,김동현,7년7개월,0년5개월,5,251270,,,,
아이엠에셋자산운용,김민주,1년1개월,1년1개월,10,364574,,,,
